Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
LE-RAINCY-VILLEMOMBLE-MONTFERMEIL;87113472;JOB;2022-03-22;2022;E;E;De 16h à 20h;2006
MAISSE;87681486;SAM;2024-02-03;2024;D;D;De 6h à 10h;34
LA-VERRIERE;87393256;SAM;2016-12-03;2016;U;U;De 16h à 20h;324
MAROLLES-EN-HUREPOIX;87545186;DIM;2017-04-23;2017;C;C;Après 20h;32
LES-ARDOINES;87492108;DIM;2017-04-23;2017;C;C;Après 20h;173
MAISSE;87681486;JOB;2024-12-03;2024;D;D;Avant 6h;16
LA-VERRIERE;87393256;SAM;2023-11-18;2023;N;N;Après 20h;208
MAROLLES-EN-HUREPOIX;87545186;DIM;2017-04-23;2017;C;C;De 10h à 16h;181
LES-ARDOINES;87492108;DIM;2017-04-23;2017;C;C;De 10h à 16h;862
MAISSE;87681486;JOB;2024-12-03;2024;D;D;De 10h à 16h;60
LA-VERRIERE;87393256;SAM;2023-11-18;2023;N;N;Avant 6h;32
MAROLLES-EN-HUREPOIX;87545186;DIM;2017-04-23;2017;C;C;De 16h à 20h;137
LES-ARDOINES;87492108;DIM;2017-04-23;2017;C;C;De 6h à 10h;262
MALESHERBES;87684415;SAM;2024-02-03;2024;D;D;Avant 6h;26
LA-VERRIERE;87393256;DIM;2023-11-19;2023;N;N;Avant 6h;24
MASSY-PALAISEAU;87393579;JOB;2017-04-25;2017;C;C;De 6h à 10h;2490
LES-ARDOINES;87492108;JOB;2017-04-25;2017;C;C;Après 20h;160
MALESHERBES;87684415;JOB;2024-02-04;2024;D;D;Après 20h;0
LA-VERRIERE;87393256;DIM;2023-11-19;2023;N;N;De 10h à 16h;528
MASSY-VERRIERES;87383281;SAM;2017-04-22;2017;C;C;Après 20h;16
LES-ARDOINES;87492108;JOB;2017-04-25;2017;C;C;De 10h à 16h;1014
MANTES-LA-JOLIE;87381509;SAM;2021-04-12;2021;J;J5;De 10h à 16h;573
LA-VERRIERE;87393256;DIM;2023-11-19;2023;N;N;De 16h à 20h;423
MAULE;87381723;SAM;2023-11-18;2023;N;N;De 10h à 16h;128
LES-BOULLEREAUX-CHAMPIGNY;87113779;SAM;2022-03-19;2022;E;E;De 10h à 16h;1385
